type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
CREDIT,UPI,21.0,1174.8,2023-08-25T16:19:20+05:30,2023-08-25,24f677df-0d22-4ee9-a72e-228f9898062b,UPI/32378/goog-payment,
CREDIT,OTHERS,1.0,1175.8,2023-08-25T16:41:37+05:30,2023-08-25,a25eeba0-6e08-45cb-9eb3-5583b6f9ec58,NEFT,9200200.0
DEBIT,UPI,1000.0,175.8,2023-08-25T16:56:59+05:30,2023-08-25,71bdd916-a4ad-4d30-9a0f-796611e2724f,UPI/3237,
DEBIT,UPI,30.0,145.8,2023-08-25T18:23:59+05:30,2023-08-25,f36f9696-82f7-47b1-9290-75cd13d701ac,UPI/3603,
CREDIT,OTHERS,51.0,196.8,2023-08-25T18:37:02+05:30,2023-08-25,c2ca6026-dd22-490f-8e8e-6bb1d033ec58,IMPS,
DEBIT,UPI,1.0,195.8,2023-08-26T15:06:16+05:30,2023-08-26,dec347ca-1df8-4834-bf12-a7ec81d4faeb,UPI/BHARATPE,
CREDIT,UPI,500.0,695.8,2023-08-26T19:25:59+05:30,2023-08-26,676db4e7-86c0-42e5-87f7-991d729ebd66,UPI/3238,
CREDIT,UPI,500.0,1195.8,2023-08-26T19:42:29+05:30,2023-08-26,ce354233-4a2f-499b-86f4-cc9ad4c0ccb7,UPI/32382,
CREDIT,UPI,700.0,1895.8,2023-08-26T20:36:16+05:30,2023-08-26,e47c0f6b-669c-4846-a4e1-a9c1abb74a49,UPI/32384,
DEBIT,UPI,60.0,1835.8,2023-08-26T21:29:53+05:30,2023-08-26,9da292b1-e6ff-4aec-ba17-1e9596be288d,UPI/BHARATPE,
DEBIT,UPI,20.0,1815.8,2023-08-26T21:31:20+05:30,2023-08-26,622a4877-d66b-4659-95f2-c834bc437044,UPI/BHARATPE,
DEBIT,UPI,1.0,1814.8,2023-08-27T12:18:39+05:30,2023-08-27,7c0b0fd3-5719-4c8f-be35-9a1eb624c282,UPI/32394,
DEBIT,UPI,1499.0,315.8,2023-08-27T12:19:54+05:30,2023-08-27,016a5f57-2be1-4c57-a806-9076e198a71f,UPI/3239,
CREDIT,UPI,240.0,555.8,2023-08-27T19:29:38+05:30,2023-08-27,345f0d46-25ad-497a-85d7-9047543df60e,UPI/32390/,
CREDIT,OTHERS,850.0,1405.8,2023-08-28T20:27:41+05:30,2023-08-28,e1f0ba13-39fa-4fa9-bcb1-47aab5a5e746,IMPS,
DEBIT,UPI,10.0,1395.8,2023-08-28T22:12:24+05:30,2023-08-28,6de89130-04ff-44c2-8801-88fca93609a9,AMZN,
DEBIT,UPI,1200.0,195.8,2023-08-29T11:49:00+05:30,2023-08-29,febe3439-44d2-4ab8-a972-cdb1f72e43aa,UPI/3241,
CREDIT,OTHERS,600.0,795.8,2023-08-29T20:02:21+05:30,2023-08-29,d2987357-92f2-4c9e-99a6-7692e931be22,IMPS,
DEBIT,UPI,100.0,695.8,2023-08-29T20:16:40+05:30,2023-08-29,c2aa2280-77b1-4f14-a157-de477ec6b924,UPI/3241,
DEBIT,UPI,15.0,680.8,2023-08-30T04:20:30+05:30,2023-08-30,ad797524-235c-4edb-b939-47647c17558c,UPI/JIOINAPPDIRECT/,
CREDIT,OTHERS,600.0,1280.8,2023-08-30T16:19:31+05:30,2023-08-30,0494c9e3-ee71-4d31-b923-e723a1df44c3,IMPS,
CREDIT,OTHERS,170.0,1450.8,2023-08-30T20:28:31+05:30,2023-08-30,3fd5bdaf-a0ec-4108-8f31-b39d54ba740d,IMPS,
CREDIT,OTHERS,350.0,1800.8,2023-08-31T06:44:24+05:30,2023-08-31,6ad58ee6-705a-4a71-8e43-c7ed1e88088f,NEFT,922020.0
CREDIT,OTHERS,750.0,2550.8,2023-08-31T13:42:41+05:30,2023-08-31,c722d3c1-53df-4e6d-bc90-f14dbb97376b,IMPS,
CREDIT,UPI,1200.0,3750.8,2023-08-31T16:09:10+05:30,2023-08-31,c75c6d29-5934-42c3-bbda-dfc773f0100a,UPI/PAYTMNA,
DEBIT,UPI,200.0,3550.8,2023-08-31T17:42:03+05:30,2023-08-31,794a682b-5b7a-4444-bd6a-5a3db9f9f1a3,UPI/3609,
DEBIT,UPI,50.0,3500.8,2023-08-31T17:46:36+05:30,2023-08-31,7a6487f4-2008-4358-a761-2bd30994ae38,UPI/3609,
DEBIT,UPI,3500.0,0.8,2023-09-01T10:42:42+05:30,2023-09-01,7a9c2faa-5032-42bb-9987-38cf36e1335b,UPI/32445,
CREDIT,UPI,34.0,34.8,2023-09-03T18:19:09+05:30,2023-09-03,5ccc1be2-fbfb-4f60-9a87-17ee0b25c621,UPI/3612,
CREDIT,UPI,460.0,494.8,2023-09-04T12:10:17+05:30,2023-09-04,8a98421e-6026-4147-a99b-1335649ebb75,UPI/32479,
DEBIT,UPI,200.0,294.8,2023-09-04T18:21:45+05:30,2023-09-04,b0bfec92-0fee-4c83-aa63-ec56255fa8ca,UPI/3613,
CREDIT,OTHERS,850.0,1144.8,2023-09-04T19:40:41+05:30,2023-09-04,7aab002f-a9d3-4600-840b-78a381e69fdd,IMPS,
CREDIT,UPI,200.0,1344.8,2023-09-05T16:30:08+05:30,2023-09-05,e6e88a6e-1bbf-4d10-8efc-7c38d81db891,UPI/3248,
CREDIT,OTHERS,1100.0,2444.8,2023-09-05T16:38:31+05:30,2023-09-05,8efc053e-df71-45cc-a9ce-0cea8d9d166e,IMPS,
DEBIT,UPI,10.0,2434.8,2023-09-06T10:13:26+05:30,2023-09-06,26212eac-72f0-4da8-943d-9e94599b1168,UPI/PAYTMPa,
DEBIT,UPI,15.0,2419.8,2023-09-06T17:22:50+05:30,2023-09-06,43423182-430e-4210-bf86-1093bde2c9a4,UPI/JIOINAPPDIRECT/,
DEBIT,UPI,220.0,2199.8,2023-09-08T19:37:29+05:30,2023-09-08,e12cba6a-8238-4de8-af95-0afacd47ef30,UPI/BHARATPE,
DEBIT,UPI,500.0,1699.8,2023-09-08T19:39:31+05:30,2023-09-08,2d629427-5abd-4cfa-9729-ec2f575c9c3f,UPI/BHARATPE,
CREDIT,OTHERS,850.0,2549.8,2023-09-08T20:21:01+05:30,2023-09-08,976f05f5-b0b1-4525-a5bd-c57fd63b6302,IMPS,
CREDIT,OTHERS,350.0,2899.8,2023-09-09T06:16:55+05:30,2023-09-09,5792cc25-83fd-4513-a760-9d0e0be64897,NEFT,922020.0
DEBIT,UPI,1.0,2898.8,2023-09-09T17:56:13+05:30,2023-09-09,aa9e7078-1396-4bc4-b021-2801520dd0ae,UPI/3252,
DEBIT,UPI,499.0,2399.8,2023-09-09T17:56:53+05:30,2023-09-09,2256bb31-80eb-40ef-a8b3-b614aeef95ae,UPI/3618,
CREDIT,OTHERS,200.0,2599.8,2023-09-09T20:03:32+05:30,2023-09-09,9133c24e-a12b-453c-b398-890e035a50b6,IMPS,
DEBIT,UPI,10.0,2589.8,2023-09-11T21:53:54+05:30,2023-09-11,320083ed-ac9d-445f-95ab-665823b66121,UPI/3620,
CREDIT,OTHERS,180.0,2769.8,2023-09-12T07:07:06+05:30,2023-09-12,b03f18f8-dbdb-4a9e-9999-f615aaa23a4b,NEFT,922020.0
DEBIT,CARD,60.0,2709.8,2023-09-12T09:55:34+05:30,2023-09-12,31a91be1-0573-4fbe-b399-7ae1d0e177da,GAS FILLING STATION,
DEBIT,UPI,10.0,2699.8,2023-09-12T10:00:48+05:30,2023-09-12,c60fc4d6-f73d-4855-a843-69156836af12,UPI/36211,
DEBIT,UPI,20.0,2679.8,2023-09-12T10:11:04+05:30,2023-09-12,8d3e0628-618e-499c-8c59-616a95f426d1,UPI/PAYTM,
CREDIT,OTHERS,350.0,3029.8,2023-09-13T06:36:06+05:30,2023-09-13,eab45d40-7e21-4933-b007-9170e9e35109,NEFT,9220200.0
DEBIT,UPI,3000.0,29.8,2023-09-13T10:19:32+05:30,2023-09-13,90d21217-2010-422c-80fc-2806ea02407b,UPI/36222,
CREDIT,OTHERS,400.0,429.8,2023-09-13T19:25:01+05:30,2023-09-13,75571385-d68d-4bc4-aae6-3a2e4d84d1e5,IMPS,
DEBIT,UPI,140.0,289.8,2023-09-14T10:18:25+05:30,2023-09-14,01e0f3d1-366b-4344-bf11-f37c0cae061b,UPI/32578,
DEBIT,UPI,120.0,169.8,2023-09-14T10:24:31+05:30,2023-09-14,3f7d6337-5760-42e8-9650-82b7e4e6f25b,UPI/32571,
CREDIT,OTHERS,670.0,839.8,2023-09-14T19:29:31+05:30,2023-09-14,7fa3f516-0a76-4a58-b66a-6e1297567084,IMPS,
CREDIT,OTHERS,5500.0,6339.8,2023-09-14T21:14:51+05:30,2023-09-14,9e361023-1600-47b8-929b-fd49f7d7bf22,IMPS,
DEBIT,UPI,50.0,6289.8,2023-09-14T21:54:45+05:30,2023-09-14,c61166ba-7899-4754-b839-36bbcf99df14,UPI/32576,
CREDIT,OTHERS,580.0,6869.8,2023-09-15T19:33:11+05:30,2023-09-15,9348033e-2c15-48d5-9d47-1e15b83a512a,IMPS,
DEBIT,UPI,40.0,6829.8,2023-09-15T21:46:32+05:30,2023-09-15,226c7c1a-4046-463e-92ea-6f6c8b600273,UPI/32581,
CREDIT,OTHERS,400.0,7229.8,2023-09-15T23:26:41+05:30,2023-09-15,f8e21723-b480-4813-a062-12bd1ddf6c9d,IMPS,
DEBIT,UPI,120.0,7109.8,2023-09-16T11:41:10+05:30,2023-09-16,1b3eda6c-a8f4-485a-8824-76b4eda8bf75,UPI/BHARATPE,
DEBIT,UPI,110.0,6999.8,2023-09-16T20:16:42+05:30,2023-09-16,6288f745-bfc9-49c9-9144-8f763cbc7303,UPI/36250,
CREDIT,UPI,50.0,7049.8,2023-09-17T20:17:51+05:30,2023-09-17,228d0c69-549c-4b66-bda9-26a88fa16cdb,UPI/3626,
DEBIT,UPI,19.0,7030.8,2023-09-17T20:34:56+05:30,2023-09-17,6cf8961e-f2dc-471d-8c7f-a12d443be002,UPI/JIOINAPPDIRECT,
DEBIT,UPI,10.0,7020.8,2023-09-17T21:39:34+05:30,2023-09-17,80da729f-1f76-41be-a745-097cac244ef9,UPI/PAYTM101,
DEBIT,UPI,241.0,6779.8,2023-09-18T22:24:38+05:30,2023-09-18,ca275aff-4c7c-415b-9f18-962dc7a2df69,UPI/JIOINAPPDIRECT,
CREDIT,OTHERS,450.0,7229.8,2023-09-18T22:27:51+05:30,2023-09-18,e6f497b6-446b-4f2b-8163-987ef32aae05,IMPS,
DEBIT,UPI,60.0,7169.8,2023-09-20T04:51:17+05:30,2023-09-20,156b0720-ad19-4d54-a8da-446c44c447df,UPI/36298/,
DEBIT,UPI,19.0,7150.8,2023-09-20T08:43:42+05:30,2023-09-20,4ac8f887-a601-4f56-be2b-5cc1ca6c6965,UPI/JIOINAPPDIRECT,
DEBIT,UPI,50.0,7100.8,2023-09-20T22:19:24+05:30,2023-09-20,de00042e-b507-489e-8862-6efbf98e619c,UPI/BHARATPE6,
CREDIT,OTHERS,1550.0,8650.8,2023-09-21T06:38:19+05:30,2023-09-21,8da5dea7-f101-4ad0-b139-414837511c68,NEFT,92202.0
DEBIT,UPI,3500.0,5150.8,2023-09-21T13:05:06+05:30,2023-09-21,dedecd53-f40c-4124-901b-0b400fc9758f,UPI/3630,
CREDIT,UPI,1.0,5151.8,2023-09-21T18:29:38+05:30,2023-09-21,97619cf6-f40f-4c05-9766-48c2a2860ee4,UPI/3264,
CREDIT,UPI,2500.0,7651.8,2023-09-21T19:28:25+05:30,2023-09-21,6d0349bd-1c9d-4717-9fe6-db9372baa936,UPI/3264,
DEBIT,UPI,50.0,7601.8,2023-09-22T09:57:07+05:30,2023-09-22,b6ff1b3f-979c-4fdd-8f5a-bbb1df4be12d,UPI/32655,
DEBIT,UPI,1530.0,6071.8,2023-09-22T10:24:00+05:30,2023-09-22,f51d2d6c-6fd9-4e14-b0e3-b73a0bbcb5cd,UPI/36311,
DEBIT,UPI,2940.0,3131.8,2023-09-22T10:44:30+05:30,2023-09-22,3df016c3-4a26-4786-94de-8eb634982994,UPI/32659,
DEBIT,UPI,500.0,2631.8,2023-09-22T18:56:41+05:30,2023-09-22,5230c540-d846-4481-af4b-259a9b4d26af,UPI/32654,
DEBIT,UPI,400.0,2231.8,2023-09-22T18:57:16+05:30,2023-09-22,ee1b82e0-c0ef-4b0b-8890-2c9a0e5f72e9,UPI/BHARATPE,
DEBIT,UPI,140.0,2091.8,2023-09-22T21:52:38+05:30,2023-09-22,8eaa3e76-c910-47ef-9378-46e8ef464a35,UPI/PAYTM,
DEBIT,UPI,40.0,2051.8,2023-09-22T22:02:12+05:30,2023-09-22,2e857865-defd-4882-9637-148669d40b3e,UPI/36318,
CREDIT,OTHERS,1280.0,3331.8,2023-09-23T08:15:20+05:30,2023-09-23,3ee3466b-ac57-4f9f-956b-a35f5d55e4b4,NEFT,92202.0
DEBIT,UPI,20.0,3311.8,2023-09-23T10:35:48+05:30,2023-09-23,71348f87-281d-4dac-815e-7c749f39106b,UPI/GPAY,
DEBIT,UPI,40.0,3271.8,2023-09-23T22:31:02+05:30,2023-09-23,0f13a626-bb42-4663-9043-403951ed5cbb,UPI/PAYTM101,
DEBIT,UPI,17.0,3254.8,2023-09-23T22:48:48+05:30,2023-09-23,74c43a11-f14e-4c0b-9a12-6ff003603c9d,UPI/BHARATPE,
DEBIT,UPI,50.0,3204.8,2023-09-23T23:02:35+05:30,2023-09-23,3260756f-954a-47b3-b46f-2c338f7f8b0a,UPI/GPAY,
DEBIT,UPI,110.0,3094.8,2023-09-24T22:29:28+05:30,2023-09-24,7d0dd7c6-8a00-4436-9823-009cd57b4d0e,UPI/PAYTM101,
CREDIT,OTHERS,1100.0,4194.8,2023-09-25T04:18:32+05:30,2023-09-25,802bb8ed-6cbd-4e2e-be90-09aef4da6794,NEFT,92202.0
CREDIT,UPI,20.0,4214.8,2023-09-25T17:41:50+05:30,2023-09-25,9125f055-f355-4d8d-9ac6-d9bb065ee25a,UPI/3268,
DEBIT,UPI,20.0,4194.8,2023-09-25T20:14:00+05:30,2023-09-25,90c6e54f-6249-426a-9423-598892687d55,UPI/PAYTMep,
DEBIT,UPI,40.0,4154.8,2023-09-25T21:30:49+05:30,2023-09-25,f26df49f-0847-4da1-a06a-1f52e3b4fa9b,UPI/36341,
DEBIT,UPI,1.0,4153.8,2023-09-26T10:00:52+05:30,2023-09-26,8339b673-56e9-4517-aaf7-804da58d7ec4,UPI/32691,
DEBIT,UPI,3000.0,1153.8,2023-09-26T10:01:36+05:30,2023-09-26,6834106a-a1db-421a-a030-05b47ec0b49e,UPI/36352,
DEBIT,UPI,1000.0,153.8,2023-09-26T10:03:39+05:30,2023-09-26,e4c9bdfc-0a18-4bc2-887b-f5d6449b7884,UPI/36351,
CREDIT,UPI,400.0,553.8,2023-09-26T14:00:53+05:30,2023-09-26,380b58dc-3d3c-45b9-8acd-2b6f6822a954,UPI/32695,
DEBIT,UPI,30.0,523.8,2023-09-27T10:08:11+05:30,2023-09-27,9209e2ff-aabe-4148-82c9-3cfbb07572a5,UPI/PAYTM,
CREDIT,UPI,200.0,723.8,2023-09-27T12:06:05+05:30,2023-09-27,c843b30d-cb22-42e1-8c58-05d59e9b6410,UPI/3270,
DEBIT,UPI,200.0,523.8,2023-09-27T12:06:19+05:30,2023-09-27,a7d31245-0cc9-446f-875f-efbed9a75bb1,UPI/32709,
DEBIT,UPI,200.0,323.8,2023-09-27T12:09:21+05:30,2023-09-27,bbf7e57c-5c39-4c78-8faf-7a77a79fbebc,UPI/32706,
CREDIT,OTHERS,400.0,723.8,2023-09-27T13:34:24+05:30,2023-09-27,a5f0be0a-122f-4b43-8333-14233b1d8c42,NEFT,922020.0
DEBIT,UPI,100.0,623.8,2023-09-27T20:11:21+05:30,2023-09-27,756010f4-f8f3-4c81-81b9-62c25e8609e0,UPI/36367,
CREDIT,OTHERS,1450.0,2073.8,2023-09-28T08:00:14+05:30,2023-09-28,b2ba5a7b-b5da-4563-831e-5cf406d85c8c,NEFT,8646845.0
DEBIT,UPI,1280.0,793.8,2023-09-28T12:13:59+05:30,2023-09-28,4b0f59fa-655b-4e30-9b83-f9514cf9b240,UPI/32712,
DEBIT,UPI,10.0,783.8,2023-09-28T21:21:56+05:30,2023-09-28,3a4ff688-bef4-4aaf-8f45-61d0168ffc75,UPI/36370,
CREDIT,OTHERS,600.0,1383.8,2023-09-29T06:42:54+05:30,2023-09-29,d8b45c85-45b2-4b13-9879-66a00fa7af65,NEFT,8646845.0
DEBIT,UPI,500.0,883.8,2023-09-29T20:23:42+05:30,2023-09-29,fa919e43-a6a1-4c55-9985-6f8b97d681eb,UPI/36381,
CREDIT,OTHERS,480.0,1363.8,2023-09-30T06:09:28+05:30,2023-09-30,a100ec2b-95e6-40f8-a021-20b36afe2715,NEFT,8646845.0
DEBIT,UPI,150.0,1213.8,2023-09-30T21:19:06+05:30,2023-09-30,c9f6c8e9-e5b1-49e7-8f8b-442ebca30aaf,UPI/PAYTM,
DEBIT,UPI,35.0,1178.8,2023-09-30T21:39:14+05:30,2023-09-30,623990ca-7390-404b-82fa-5f10316863d2,UPI/PAYTMap,
DEBIT,UPI,130.0,1048.8,2023-09-30T21:43:00+05:30,2023-09-30,f8c83f63-6b3c-48b7-907e-1c7569881a5a,UPI/32738,
DEBIT,UPI,50.0,998.8,2023-09-30T22:29:23+05:30,2023-09-30,3e3f3ee0-8eaf-456e-a475-f4aff84fd8a7,UPI/BHARATPE,
DEBIT,UPI,10.0,988.8,2023-09-30T22:33:15+05:30,2023-09-30,9b3a0f22-6e89-4356-a5c5-f173fe76ff23,AMZN,
CREDIT,OTHERS,700.0,1688.8,2023-10-01T10:23:16+05:30,2023-10-01,248af984-503d-4ca8-bd8f-00ba044859e7,NEFT,8646845.0
CREDIT,OTHERS,4550.0,6238.8,2023-10-01T19:02:22+05:30,2023-10-01,ace38436-f415-45f8-bb95-3679ff3e0d43,IMPS,
DEBIT,UPI,1.0,6237.8,2023-10-01T19:49:12+05:30,2023-10-01,f820697b-3dd8-4e9b-88ed-27639dd662c3,UPI/36406,
DEBIT,UPI,4000.0,2237.8,2023-10-01T19:51:09+05:30,2023-10-01,ddcc8fa1-81c0-4d4b-8f71-180352bf97aa,UPI/36408,
DEBIT,UPI,540.0,1697.8,2023-10-01T20:16:47+05:30,2023-10-01,e3d156cc-dfbf-471b-b50c-75477e85847b,UPI/BHARATPE,
DEBIT,UPI,50.0,1647.8,2023-10-01T22:29:54+05:30,2023-10-01,edf8c5a8-b2d0-442d-bc16-8d739075ddaf,UPI/BHARATPE,
CREDIT,OTHERS,540.0,2187.8,2023-10-02T02:55:44+05:30,2023-10-01,7b4353e3-877e-4ae0-8437-22bb587225b4,IMPS,
DEBIT,UPI,370.0,1817.8,2023-10-02T17:03:10+05:30,2023-10-02,5f109549-800e-46e7-9455-e0a9b4865360,UPI/PAYTM9p,
DEBIT,UPI,19.0,1798.8,2023-10-03T00:38:08+05:30,2023-10-03,31668b32-0d2d-4dea-aa92-6b8c31ee848e,UPI/JIOINAPPDIRECT,
CREDIT,OTHERS,600.0,2398.8,2023-10-03T03:56:11+05:30,2023-10-03,3108c01e-39f6-4c2f-a283-86db7439f95c,NEFT,8646845.0
DEBIT,UPI,10.0,2388.8,2023-10-03T20:25:12+05:30,2023-10-03,0fce7629-1e60-4e18-a1b7-a8ca75f7f2f4,UPI/36421,
CREDIT,OTHERS,250.0,2638.8,2023-10-04T08:40:35+05:30,2023-10-04,76615252-dfaf-4102-8f5d-75bc54d8387b,NEFT,8646845.0
DEBIT,UPI,40.0,2598.8,2023-10-04T09:53:09+05:30,2023-10-04,51dcb4d5-7bad-400c-8a1b-8e6b8a8f24af,UPI/32770,
DEBIT,UPI,10.0,2588.8,2023-10-04T09:59:59+05:30,2023-10-04,c22fc6ad-c242-4538-91f2-53ca13770c6e,UPI/32775,
DEBIT,UPI,30.0,2558.8,2023-10-04T21:14:16+05:30,2023-10-04,9c02e93a-0999-41cc-95e4-279994bb3364,UPI/36435,
CREDIT,OTHERS,400.0,2958.8,2023-10-05T07:29:40+05:30,2023-10-05,033d5608-e2b1-4858-b98b-99f3f9cf83d6,NEFT,8646845.0
CREDIT,UPI,200.0,3158.8,2023-10-05T18:48:46+05:30,2023-10-05,8d61b7b8-6b32-47b2-ada2-1636ab6b0f56,UPI/32789,
DEBIT,UPI,30.0,3128.8,2023-10-05T19:56:08+05:30,2023-10-05,6b92418c-590d-42fd-abc0-fb5156683c35,UPI/32783,
DEBIT,UPI,160.0,2968.8,2023-10-05T20:26:51+05:30,2023-10-05,d3bc1598-5ded-4832-a6f9-069e5c28d7ac,UPI/32784,
DEBIT,UPI,226.0,2742.8,2023-10-06T13:24:14+05:30,2023-10-06,8e96f9b1-5fc7-489f-9566-35ac1f240252,UPI/32795,
DEBIT,UPI,320.0,2422.8,2023-10-06T14:14:20+05:30,2023-10-06,177a6ed6-5383-405b-b331-955da39f85c6,UPI/BHARATPE,
DEBIT,UPI,10.0,2412.8,2023-10-06T16:20:57+05:30,2023-10-06,39cad768-4f42-4879-9fa4-12f7d5f75fea,UPI/36454,
CREDIT,UPI,700.0,3112.8,2023-10-06T18:09:14+05:30,2023-10-06,8af09e5a-a98a-4a0a-9648-64d457d85070,UPI/3645,
DEBIT,UPI,220.0,2892.8,2023-10-06T21:27:38+05:30,2023-10-06,979fab68-939e-4b78-8f89-09c0dbb46472,UPI/BHARATPE,
CREDIT,UPI,220.0,3112.8,2023-10-06T21:30:07+05:30,2023-10-06,e30a976a-ef08-44a4-88c2-9105178a4999,UPI/3279,
DEBIT,UPI,30.0,3082.8,2023-10-06T21:32:04+05:30,2023-10-06,9f694e56-84bb-4322-86d1-048ed5d7b7b0,UPI/36458,
CREDIT,OTHERS,2330.0,5412.8,2023-10-07T09:01:11+05:30,2023-10-07,d59218dd-56a8-4c04-b1b4-ac13349f5d81,NEFT,8646845.0
DEBIT,UPI,19.0,5393.8,2023-10-07T15:57:03+05:30,2023-10-07,0cc87859-f3c0-4c5c-b51a-bfdd20a1433b,UPI/GPAYBILLREACHARGE,
DEBIT,UPI,2000.0,3393.8,2023-10-07T18:44:21+05:30,2023-10-07,d8aaf10a-4bd0-4389-812e-1b1588d811a4,UPI/BHARATPE,
DEBIT,UPI,20.0,3373.8,2023-10-07T21:17:18+05:30,2023-10-07,50052b56-dc7d-48e4-a9c6-3875ab1497d0,UPI/36462,
DEBIT,UPI,330.0,3043.8,2023-10-07T21:32:00+05:30,2023-10-07,1bd129a3-31f0-4a9c-b646-532f3decb10a,UPI/32802,
CREDIT,UPI,1900.0,4943.8,2023-10-08T20:10:05+05:30,2023-10-08,1ae3ff28-9cdb-461b-921e-5137cbb992b8,UPI/3647,
DEBIT,UPI,100.0,4843.8,2023-10-08T22:26:18+05:30,2023-10-08,7c549684-4fc8-4b23-a781-d8f878d8ce29,UPI/BHARATPE,
CREDIT,OTHERS,100.0,4943.8,2023-10-09T05:24:05+05:30,2023-10-09,c59fa33b-8458-44ce-be05-d5944e2325c6,NEFT,8646845.0
DEBIT,UPI,2000.0,2943.8,2023-10-09T11:24:18+05:30,2023-10-09,b7b95690-4180-4dcc-90ae-b34aad750bbc,UPI/36486,
DEBIT,UPI,50.0,2893.8,2023-10-09T14:39:20+05:30,2023-10-09,74d0b7b2-cd18-4910-bcff-e515a3c704f5,UPI/BHARATPE4,
CREDIT,UPI,100.0,2993.8,2023-10-09T20:02:16+05:30,2023-10-09,bb88f510-b541-44e1-87a4-069ea4c9f816,UPI/3648,
DEBIT,UPI,110.0,2883.8,2023-10-09T22:31:10+05:30,2023-10-09,601ec0cd-17de-4fe2-906c-9ec67ac87798,UPI/BHARATPE,
CREDIT,OTHERS,100.0,2983.8,2023-10-10T06:44:35+05:30,2023-10-10,f24446ac-dee7-4127-987f-14d106066704,NEFT,8646845.0
